OriginA,DestinationA,OriginB,DestinationB,aDist,aTime,bDist,bTime,overlapDist,overlapTime,aBeforeDist,aBeforeTime,bBeforeDist,bBeforeTime,aAfterDist,aAfterTime,bAfterDist,bAfterTime
"5.373588,-3.998759","5.327810,-4.005012","5.373588,-3.998759","5.327810,-4.005012",5.348,13.033333333333333,5.348,13.033333333333333,5.348,13.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.373588,-3.998759","5.327810,-4.005012","5.361826,-3.990009","5.322763,-4.002270",5.348,13.033333333333333,5.868,14.683333333333334,3.01,7.416666666666667,1.446,3.8,1.006,2.4,0.892,1.8,1.852,4.866666666666666
"5.373588,-3.998760","5.327810,-4.005013","5.368385,-4.006019","5.335087,-3.995491",5.348,13.05,6.116,16.183333333333334,3.857,9.266666666666667,0.595,1.9333333333333333,0.86,3.8666666666666667,0.896,1.8333333333333333,1.399,3.0166666666666666
"5.373588,-3.998761","5.327810,-4.005014","5.355748,-3.969820","5.333238,-4.006999",5.348,13.05,6.366,15.533333333333333,0.872,2.066666666666667,3.555,8.766666666666667,4.943,11.233333333333333,0.917,2.0,0.547,2.0166666666666666
"5.373588,-3.998762","5.327810,-4.005015","5.392951,-3.975507","5.347369,-4.003102",5.348,13.05,10.556,24.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.361826,-3.990009","5.322763,-4.002270","5.368385,-4.006019","5.335087,-3.995491",5.868,14.683333333333334,6.116,16.183333333333334,2.985,7.016666666666667,1.006,2.4,1.711,5.766666666666667,1.877,5.066666666666666,1.42,3.183333333333333
"5.355748,-3.969820","5.333238,-4.006999","5.392951,-3.975507","5.347369,-4.003102",6.366,15.533333333333333,10.556,24.666666666666668,4.559,9.35,0.355,1.6666666666666667,5.322,13.35,1.449,4.383333333333334,0.674,1.9333333333333333
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",0.0,0.0,15.179,20.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.179,20.566666666666666
letter,"5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
"5.3532536,-4.0263832",,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
"5.3532536,-4.0263832",5.3532536,"5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
"5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"999,-4.0263832","5.3532536,-4.0263832","5.3532536,-4.0263832","5.2881775,-3.9706876",,,,,,,,,,,,,,
